base_date,emd_nm,disQuantity,disCount
20-Feb,이도1동,45460550,17863
20-Feb,이도2동,195238300,84981
20-Feb,이호동,19189450,7497
20-Feb,일도1동,20551050,7501
20-Feb,일도2동,146848800,67153
20-Feb,조천읍,35081700,11709
20-Feb,한경면,11581750,2983
20-Feb,한림읍,46005250,11764
20-Feb,화북동,115772600,58692
20-Mar,건입동,32908400,15319
20-Mar,구좌읍,21391750,7062
20-Mar,노형동,248082750,120310
20-Mar,도두동,15103150,5874
20-Mar,봉개동,10557550,4796
20-Mar,삼도1동,63852500,29939
20-Mar,삼도2동,32916250,16326
20-Mar,삼도동,,
20-Mar,삼양동,70542150,32226
20-Mar,아라동,107419150,53597
20-Mar,애월읍,68674650,23496
20-Mar,연동,206625000,101981
20-Mar,오라동,59152700,27179
20-Mar,외도동,106346100,51440
20-Mar,용담1동,32060950,14544
20-Mar,용담2동,54604000,27729
20-Mar,이도1동,48455500,20365
20-Mar,이도2동,202895600,93448
20-Mar,이호동,19293100,8221
20-Mar,일도1동,20960900,7904
20-Mar,일도2동,153716200,73944
20-Mar,조천읍,43196450,14920
20-Mar,한경면,14964700,3764
20-Mar,한림읍,51824650,13762
20-Mar,화북동,119772800,63298
20-Apr,건입동,29782900,14484
20-Apr,구좌읍,21087700,7286
20-Apr,노형동,219455300,112039
20-Apr,도두동,13348850,5474
20-Apr,봉개동,9976150,4656
20-Apr,삼도1동,56844800,28135
20-Apr,삼도2동,30277750,15393
20-Apr,삼도동,,
20-Apr,삼양동,61003100,29539
20-Apr,아라동,95754900,49622
20-Apr,애월읍,67296450,23181
20-Apr,연동,185046300,94909
20-Apr,오라동,53116850,25413
20-Apr,외도동,96277500,48299
20-Apr,용담1동,27981500,13566
20-Apr,용담2동,50910800,26573
20-Apr,이도1동,43686600,18919
20-Apr,이도2동,180537000,87199
20-Apr,이호동,16629400,7352
20-Apr,일도1동,20251800,7598
20-Apr,일도2동,135274650,69170
20-Apr,조천읍,40552250,14987
20-Apr,한경면,14622550,3991
20-Apr,한림읍,51955950,13982
20-Apr,화북동,105777450,59224
20-May,건입동,33555350,17093
20-May,구좌읍,27319750,9475
20-May,노형동,242720800,127902
20-May,도두동,15659400,6308
20-May,봉개동,10838900,5330
20-May,삼도1동,63002300,32311
20-May,삼도2동,35477800,18220
20-May,삼도동,,
20-May,삼양동,66459700,33831
20-May,아라동,108006800,56861
20-May,애월읍,81485500,28706
20-May,연동,206985450,108944
20-May,오라동,58018050,28491
20-May,외도동,106216100,54795
20-May,용담1동,31453500,15806
20-May,용담2동,56964450,31480
